         7399 function calls (7117 primitive calls) in 5.919 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.919    5.919 _base_client.py:944(_request)
        1    0.000    0.000    5.919    5.919 _client.py:881(send)
        1    0.000    0.000    5.919    5.919 _client.py:930(_send_handling_auth)
        1    0.000    0.000    5.918    5.918 _client.py:964(_send_handling_redirects)
        1    0.000    0.000    5.918    5.918 _client.py:1001(_send_single_request)
        1    0.000    0.000    5.917    5.917 default.py:214(handle_request)
        1    0.000    0.000    5.917    5.917 connection_pool.py:159(handle_request)
        1    0.000    0.000    5.917    5.917 connection.py:67(handle_request)
        1    0.000    0.000    5.864    5.864 http11.py:72(handle_request)
        4    0.000    0.000    5.482    1.370 http11.py:216(_receive_event)
        1    0.000    0.000    5.481    5.481 http11.py:179(_receive_response_headers)
        3    0.000    0.000    2.805    0.935 sync.py:122(read)
        3    0.000    0.000    2.805    0.935 ssl.py:1227(recv)
        3    0.000    0.000    2.805    0.935 ssl.py:1096(read)
        3    2.805    0.935    2.805    0.935 {method 'read' of '_ssl._SSLSocket' objects}
        5    0.000    0.000    2.678    0.536 base_events.py:1874(_run_once)
        1    0.000    0.000    0.382    0.382 http11.py:159(_send_request_body)
       32    0.000    0.000    0.380    0.012 http11.py:170(_send_event)
       32    0.001    0.000    0.379    0.012 sync.py:128(write)
       31    0.000    0.000    0.377    0.012 ssl.py:1174(send)
       31    0.376    0.012    0.376    0.012 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.053    0.053 connection.py:103(_connect)
        1    0.000    0.000    0.028    0.028 sync.py:142(start_tls)
        1    0.000    0.000    0.028    0.028 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.028    0.028 ssl.py:956(_create)
        1    0.000    0.000    0.028    0.028 ssl.py:1310(do_handshake)
        1    0.028    0.028    0.028    0.028 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.019    0.019 sync.py:186(connect_tcp)
        1    0.000    0.000    0.019    0.019 socket.py:810(create_connection)
        1    0.019    0.019    0.019    0.019 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.005    0.005 decorator.py:229(fun)
